visited_node_index  visited_node_parent_index
1                              0
2                              1
3                              1
4                              2
5                              2
6                              3
7                              3
8                              4
9                              5
10                              5
11                              5
12                              6
13                              6
14                              6
15                              7
16                              8
17                              8
18                              9
19                              9
20                              10
21                              10
22                              11
23                              11
24                              12
25                              12
26                              13
27                              13
28                              14
29                              14
30                              15
31                              15
32                              16
33                              16
34                              16
35                              17
36                              18
37                              19
38                              20
39                              21
40                              22
41                              23
42                              24
43                              25
44                              26
45                              27
46                              28
47                              29
48                              30
49                              31
50                              31
51                              31
52                              32
53                              32
54                              33
55                              33
56                              34
57                              34
